,target_nr,Correlation,p-value,percentile,R1,R2,R3,R4,R5,R6,R7,R8,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S2,S3,S4,S5,S6,S7,S8,E1,E2,E3,E4,E5,E6,E7,E8,C1,C2,C3,C4,C5,C6,C7,C8
140830,2,-0.536066,8.6e-05,7.365722872042662e-06,4.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0
17167,3,-0.155235,0.292089,0.016852773931233613,5.0,2.0,1.0,5.0,4.0,4.0,2.0,1.0,5.0,5.0,4.0,4.0,5.0,2.0,1.0,2.0,1.0,4.0,5.0,4.0,2.0,5.0,1.0,4.0,4.0,5.0,1.0,5.0,1.0,1.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,5.0,1.0,5.0,4.0,1.0,5.0,4.0,1.0,5.0,1.0,4.0
120461,4,-0.085179,0.564868,0.033801302259803774,3.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,4.0,1.0,3.0,3.0,1.0,2.0,4.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0
75862,5,-0.041286,0.780538,0.05074983058837394,4.0,1.0,1.0,5.0,4.0,1.0,4.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0
70449,6,-0.005166,0.9722,0.0676983589169441,5.0,3.0,1.0,5.0,3.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,2.0,3.0,5.0,3.0,5.0,5.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,5.0,5.0,1.0,2.0,5.0,1.0,1.0
19514,7,0.016885,0.909314,0.08464688724551428,4.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0,1.0,4.0,2.0,3.0,3.0,1.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,1.0,2.0,1.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0
82184,8,0.046127,0.755559,0.10159541557408444,3.0,4.0,1.0,3.0,1.0,4.0,3.0,3.0,4.0,5.0,5.0,2.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,5.0,3.0,5.0,5.0,1.0,1.0,3.0,4.0,5.0,5.0,5.0,1.0,3.0,1.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
119615,9,0.072232,0.625634,0.11855130962552665,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,4.0,5.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,2.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0
106555,10,0.09402,0.525017,0.1354998379540968,2.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,1.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,1.0
91311,11,0.114606,0.43796,0.15244836628266697,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,1.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0
